Newly Added,ID,Industry,Code,Alphabet,Numeric,Type ,Segment Name,Display Name,Real Value,Group,Type,Value,New Attribute Name,Rename,Meaning
,190,Politics and social issues,F4,F,4,Brand Visited,The New York Times,The New York Times, ,Social,news,Low,,,
,122,Coffee,E2.1,E,2.1,Brand Visited,The Coffee Club,The Coffee Club,,Beverage,Non Alcoholic,Low,,,
,22,Banking,A13.7,A,13.7,Brand Visited,Teachers Mutual Bank Visitors,Teachers Mutual Bank ,,Finance,Banking,Low,,,
,24,Online banking,A13.7.2,A,13.7.2,Brand Visited,Teachers Mutual Bank Visitors,Teachers Mutual Bank ,,Finance,Banking,Low,,,
,205,Car rentals,F5.4,F,5.4,Place Categories,Taxi And Car Services Visitors,Taxi And Car Services ,,Automotive,Rental Service,Low,,,
,342,Home improvement,M4,M,4,Brand Visited,Taubmans Visitors,Taubmans ,,Home And Garden,Property,Low,,,
,96,Gambling,B7,B,7,Brand Visited,Tatts Lotto Visitors,Tatts Lotto ,,Entertainment,Gambling,Low,,,
,156,Coffeehouses,E6.1,E,6.1,Brand Visited,The Coffee Club,The Coffee Club,,Beverage,Non Alcoholic,Low,,,
,235,Tattoos,G1.6,G,1.6,Place Categories,Tattooing Visitors,Tattooing ,,Beauty,Tattoo,Low,,,
,128,Baking,E3.1,E,3.1,Brand Visited,The Cheesecake Shop,The Cheesecake Shop,,Food,Bakery,Low,,,
,150,Desserts,E5.3,E,5.3,Brand Visited,The Cheesecake Shop,The Cheesecake Shop,,Food,Dessert,Low,,,
,238,Men's clothing,G2.2,G,2.2,Brand Visited,Tarocash Visitors,Tarocash ,,Shopping & Fashion,Apparel,Low,,,
,229,Beauty,G1,G,1,Brand Visited,The Body Shop,The Body Shop,,Beauty,Personal Wellness,Low,,,
,352,Luxury goods,N4,N,4,Brand Visited,The Body Shop,The Body Shop,,Beauty,Skincare,Low,,,
,230,Beauty salons,G1.1,G,1.1,Place Categories,Tanning Salons Visitors,Tanning Salons ,,Beauty,Personal Wellness,Low,,,
,249,Toys,G5,G,5,Brand Visited,Tandy Australia Visitors,Tandy Australia ,,Shopping & Fashion,Shoppers,Low,,,
,276,Technology,I,I,,Brand Visited,Tandy Australia Visitors,Tandy Australia , ,Technology,Electronic Devices,Low,,,
,119,Distilled beverage,E1.2,E,1.1,Brand Visited,Tamborine Mountain Distillery Visitors,Tamborine Mountain Distillery ,,Beverage,Alcoholic,Low,,,
,208,Hotels,F5.7,F,5.7,Brand Visited,Tall Timbers Tasmania Visitors,Tall Timbers Tasmania , ,Travel,Accommodation,Low,,,
,116,Food and drink,E,E,,Place Categories,Takeaways And Delivery Visitors,Takeaways And Delivery ,,Restaurants,Food & Drink,Low,,,
,155,Restaurants,E6,E,6,Brand Visited,Taco Bill Visitors,Taco Bill ,,Restaurants,Food & Drink,Low,,,
,155,Restaurants,E6,E,6,Brand Visited,Taco Bell Visitors,Taco Bell ,,Restaurants,Food & Drink,Low,,,
,239,Shoes,G2.3,G,2.3,Brand Visited,The athletes foot,The athletes foot,,Shopping & Fashion,Footware,Low,,,
,250,Sports and outdoors,H,H,,Brand Visited,Tackle World Visitors,Tackle World , ,Hobbies And Activities,Community,Low,,,
,159,Fast food restaurants,E6.4,E,6.4,Brand Visited,TGI Friday's,TGI Friday's,,Restaurants,Fast Food,Low,,,
,43,Puzzle video games,B1.12,B,1.12,Brand Visited,TETRIS,TETRIS,,Hobbies And Activities,Games,Low,,,
,271,Tennis,H2.12,H,2.12,Geo Behaviour,Tennis Fans,Tennis Fans,,Hobbies And Activities,Sports,Low,,,
,126,Tea,E2.5,E,2.5,Brand Visited,T2 Tea Visitors,T2 Tea ,,Beverage,Non Alcoholic,Low,,,
,208,Hotels,F5.7,F,5.7,Brand Visited,Swissotel Visitors,Swissotel , ,Travel,Accommodation,Low,,,
,247,Watches,G3.5,G,3.5,Brand Visited,Swiss Concept Visitors,Swiss Concept ,,Shopping & Fashion,Watches,Low,,,
,270,Swimming,H2.11,H,2.11,Place Categories,Swimwear Visitors,Swimwear ,,Shopping & Fashion,Apparel,Low,,,
,270,Swimming,H2.11,H,2.11,Place Categories,Swimming Pool Visitors,Swimming Pool ,,Hobbies And Activities,Sports,Low,,,
,271,Tennis,H2.12,H,2.12,Interests,Tennis,Tennis,,Hobbies And Activities,Sports,Low,,,
,150,Desserts,E5.3,E,5.3,Place Categories,Sweets And Desserts Visitors,Sweets And Desserts ,,Food,Dessert,Low,,,
,247,Watches,G3.5,G,3.5,Brand Visited,Swatch Visitors,Swatch ,,Shopping & Fashion,Watches,High,,,
,238,Men's clothing,G2.2,G,2.2,Brand Visited,TEMT,TEMT,,Shopping & Fashion,Apparel,Low,,,
,245,Jewelry,G3.3,G,3.3,Brand Visited,Swarovski Visitors,Swarovski ,,Shopping & Fashion,Jewelry,High,,,
,276,Technology,I,I,,Brand Visited,Telstra,Telstra, ,Technology,Communication,Low,,,
,301,Network Connection,I4,I,2.12,Brand Visited,Telstra,Telstra,,Technology,Communication,Low,,,
,128,Baking,E3.1,E,3.1,Brand Visited,Swan Street Bakery & Patisserie Visitors,Swan Street Bakery & Patisserie ,,Food,Bakery,Low,,,
,317,Vehicles,J3.1,J,3.1,Brand Visited,Suzuki Visitors,Suzuki ,,Automotive,Vehicles,Low,,,
,300,Televisions,I2.11,I,2.11,Interests,Television,Television,,Technology,Electronic Devices,Low,,,
,228,Shopping and fashion,G,G,,Brand Visited,Suzanne Grae Visitors,Suzanne Grae ,,Shopping & Fashion,Shoppers,Low,,,
,325,SUVs,J3.1.8,J,3.1.8,Brand Visited,SUV Showroom Visitors,SUV Showroom ,,Automotive,Vehicles,Low,,,
,240,Women's clothing,G2.4,G,2.4,Brand Visited,Sussan Visitors,Sussan ,,Shopping & Fashion,Apparel,Low,,,
,276,Technology,I,I,,Interests,Telco Offers,Telco Offers,All Telco Offers,Technology,Shoppers,Low,,,
,155,Restaurants,E6,E,6,Brand Visited,Sushi Sushi Visitors,Sushi Sushi ,,Restaurants,Food & Drink,Low,,,
,137,Japanese cuisine,E4.7,E,4.7,Place Categories,Sushi Restuarants Visitors,Sushi Restuarants ,,Restaurants,Japanease Cuisine,Low,,,
,155,Restaurants,E6,E,6,Brand Visited,Sushi Hub Visitors,Sushi Hub ,,Restaurants,Food & Drink,Low,,,
,155,Restaurants,E6,E,6,Brand Visited,Sushi Hotaru Visitors,Sushi Hotaru ,,Restaurants,Food & Drink,Low,,,
,258,Surfing,H1.7,H,1.7,Place Categories,Surfing Beach Visitors,Surfing Beach ,,Hobbies And Activities,Sports,Low,,,
,97,Family and relationships,C,C,,Geo Behaviour,Teens,Teens,,Family And Relationships,Marital Status,Low,,,
,213,Tourism,F5.12,F,5.12,Brand Visited,Surf Dive 'N' Ski Visitors,Surf Dive 'N' Ski ,,Travel,Leisure,Low,,,
,213,Tourism,F5.12,F,5.12,Brand Visited,Supre Visitors,Supre ,,Travel,Leisure,Low,,,
Y,240,Women's clothing,G2.4,G,2.4,Brand Visited,Supre Visitors,Supre ,,Shopping & Fashion,Shoppers,Low,,,
,164,Grocery,E9,E,9,Place Categories,Supermarket Visitors,Supermarket ,,Shopping & Fashion,Grocery,Low,,,
,6,Business,A5,A,5,Brand Visited,Superdry Visitors,Superdry , ,Business,Professional,Low,,,
,282,Desktop computers,I1.5,I,1.5,Interests,Technology & Computing,Technology & Computing,,Technology,Professional,Low,,,
,318,Automobiles,J3.1.1,J,3.1.1,Brand Visited,Super Cheap Auto Visitors,Super Cheap Auto ,,Automotive,Vehicles,Low,,,
,164,Grocery,E9,E,9,Brand Visited,Supabarn Visitors,Supabarn ,,Shopping & Fashion,Grocery,Low,,,
,128,Baking,E3.1,E,3.1,Brand Visited,Sunny's Bakery Visitors,Sunny's Bakery ,,Food,Bakery,Low,,,
,276,Technology,I,I,,Geo Behaviour,Tech Enthusiasts,Tech Enthusiasts,,Technology,Electronic Devices,Low,,,
,246,Sunglasses,G3.4,G,3.4,Brand Visited,Sunglass Hut (Tiffany & Co) Visitors,Sunglass Hut (Tiffany & Co) , ,Shopping & Fashion,Eye Care,Low,,,
,246,Sunglasses,G3.4,G,3.4,Brand Visited,Sunglass Hut (Ralph) Visitors,Sunglass Hut (Ralph) , ,Shopping & Fashion,Eye Care,Low,,,
,235,Tattoos,G1.6,G,1.6,Interests,Tattoos,Tattoos,,Beauty,Tattoo,Low,,,
,208,Hotels,F5.7,F,5.7,Brand Visited,Sundowner Inns Visitors,Sundowner Inns , ,Travel,Accommodation,Low,,,
,331,Nursing,K1,K,1,Brand Visited,Sundale Ltd Visitors,Sundale Ltd ,,Social,Personal Wellness,Low,,,
,22,Banking,A13.7,A,13.7,Brand Visited,Suncorp Bank Visitors,Suncorp Bank ,,Finance,Banking,Low,,,
,24,Online banking,A13.7.2,A,13.7.2,Brand Visited,Suncorp Bank Visitors,Suncorp Bank ,,Finance,Banking,Low,,,
,17,Insurance,A13.2,A,13.2,Brand Visited,Suncorp Visitors,Suncorp ,,Finance,Insurance,Low,,,
,147,Food,E5,E,5,Brand Visited,Sumo Salad Visitors,Sumo Salad ,,Food,Shoppers,Low,,,
,107,Family Events,C10,C,10,Interests,Tasks and Events,Tasks and Events,,Social,Event Management,Low,,,
,120,Wine,E1.3,E,1.3,Brand Visited,Summer Hill Wine Shop Visitors,Summer Hill Wine Shop , ,Beverage,Alcoholic,Low,,,
,208,Hotels,F5.7,F,5.7,Brand Visited,Sullivans Hotel Visitors,Sullivans Hotel , ,Travel,Accommodation,Low,,,
,190,Politics and social issues,F4,F,4,Interests,Tarot Astrology,Tarot Astrology,& Tarot Astrology,Social,Astrology,Low,,,
,238,Men's clothing,G2.2,G,2.2,Brand Visited,Tarocash,Tarocash,,Shopping & Fashion,Apparel,Low,,,
,354,Shopping malls,N6,N,6,Brand Visited,Target,Target,,Shopping & Fashion,House & Personal ,Low,,,
,318,Automobiles,J3.1.1,J,3.1.1,Brand Visited,Subaru Visitors,Subaru ,,Automotive,Vehicles,Low,,,
,159,Fast food restaurants,E6.4,E,6.4,Brand Visited,Taco Bell,Taco Bell,,Restaurants,Fast Casual Food,Low,,,
,287,Tablet computers,I1.10,I,1.1,Interests,Tablets and E-readers,Tablets and E-readers,,Technology,Electronic Devices,Low,,,
,259,Sports,H2,H,2,Interests,Table Tennis,Table Tennis,,Hobbies And Activities,Sports,Low,,,
,96,Gambling,B7,B,7,Brand Visited,TAB,TAB,,Entertainment,Gambling,Low,,,
,332,Education,L,L,,Place Categories,Student Flights Visitors,Student Flights ,,Education,Professional,Low,,,
,270,Swimming,H2.11,H,2.11,Interests,Swimming,Swimming,,Hobbies And Activities,Sports,Low,,,
,332,Education,L,L,,Place Categories,Student Aid And Grants Visitors,Student Aid And Grants ,,Education,Consultancy,Low,,,
,75,Music,B4,B,4,Brand Visited,String Musicians Australia Visitors,String Musicians Australia ,,Entertainment,Music,Low,,,
,95,Leisure,B6,B,6,Place Categories,Strike Bowling Bar Visitors,Strike Bowling Bar ,,Entertainment,Leisure,Low,,,
,317,Vehicles,J3.1,J,3.1,Brand Visited,Strathfield Car Radios Visitors,Strathfield Car Radios ,,Transportation,Service Center,Low,,,
Y,201,Travel,F5,F,5,Place Categories,Strathfield Visitors,Strathfield ,,Travel,Leisure,Low,,,
,213,Tourism,F5.12,F,5.12,Brand Visited,Strathfield Visitors,Strathfield ,,Travel,Leisure,Low,,,
,247,Watches,G3.5,G,3.5,Brand Visited,Swatch,Swatch,,Shopping & Fashion,Watches,High,,,
,6,Business,A5,A,5,Brand Visited,Stratco Visitors,Stratco , ,Business,Professional,Low,,,
,6,Business,A5,A,5,Brand Visited,Storage King Visitors,Storage King , ,Business,Professional,Low,,,
,354,Shopping malls,N6,N,6,Brand Visited,Storage King Visitors,Storage King ,,Shopping & Fashion,Shoppers,Low,,,
,26,Real estate,A14,A,14,Place Categories,Storage Visitors,Storage ,,Business,Property,Low,,,
,117,Alcoholic beverages,E1,E,1,Brand Visited,Stoneville Liquor Visitors,Stoneville Liquor , ,Beverage,Alcoholic,Low,,,
,245,Jewelry,G3.3,G,3.3,Brand Visited,Swarovski,Swarovski,,Shopping & Fashion,Jewelry,High,,,
,352,Luxury goods,N4,N,4,Brand Visited,Swarovski,Swarovski,,Shopping & Fashion,Jewelry,High,,,
,6,Business,A5,A,5,Brand Visited,Stockland Retail Visitors,Stockland Retail , ,Business,Professional,Low,,,
,26,Real estate,A14,A,14,Brand Visited,Stockland Visitors,Stockland ,,Business,Property,Low,,,
,18,Investment,A13.3,A,13.3,Place Categories,Stock Brokers Visitors,Stock Brokers ,,Finance,Funds,Low,,,
,21,Income,A13.6,A,13.6,Place Categories,Stock Brokers Visitors,Stock Brokers ,,Finance,Funds,Low,,,
,208,Hotels,F5.7,F,5.7,Brand Visited,Stella's Dromana Hotel Visitors,Stella's Dromana Hotel , ,Travel,Accommodation,Low,,,
,155,Restaurants,E6,E,6,Brand Visited,Stellarossa Visitors,Stellarossa ,,Restaurants,Food & Drink,Low,,,
,153,Pizza,E5.6,E,5.6,Brand Visited,Stella Pizza Visitors,Stella Pizza ,,Restaurants,Fast Food,Low,,,
,318,Automobiles,J3.1.1,J,3.1.1,Brand Visited,Suzuki,Suzuki,,Automotive,Vehicles,Low,,,
,148,Barbecue,E5.1,E,5.1,Brand Visited,Steakhouses Visitors,Steakhouses ,,Food,Fast Food,Low,,,
,137,Japanese cuisine,E4.7,E,4.7,Brand Visited,Sushi Trains,Sushi Trains,,Restaurants,Japanease Cuisine,Low,,,
,250,Sports and outdoors,H,H,,Brand Visited,Stateside Sports Visitors,Stateside Sports , ,Hobbies And Activities,Sports equipment,Low,,,
,117,Alcoholic beverages,E1,E,1,Brand Visited,Starward Whisky Visitors,Starward Whisky , ,Beverage,Alcoholic,Low,,,
,258,Surfing,H1.7,H,1.7,Interests,Surfing and Bodyboarding,Surfing and Bodyboarding,,Hobbies And Activities,Sports,Low,,,
N,316,Transportation,J3,J,3,Brands Visited,StarTrack Visitors,StarTrack,,Transportation, Logistic and Freight,High,,,
,6,Business,A5,A,5,Brand Visited,Starr Partners Visitors,Starr Partners , ,Business,Professional,Low,,,
,3,Agriculture,A2,A,2,Brand Visited,Starline Alpacas Farm & Stay Waterview Cottages Visitors,Starline Alpacas Farm & Stay Waterview Cottages ,,Business,Agriculture,Low,,,
,121,Beverages,E2,E,2,Brand Visited,Starbucks Visitors,Starbucks ,,Beverage,Non Alcoholic,Low,,,
,318,Automobiles,J3.1.1,J,3.1.1,Brand Visited,SuperCheap Auto,SuperCheap Auto,,Automotive,Vehicle Equipment,Low,,,
,246,Sunglasses,G3.4,G,3.4,Geo Behaviour,Sunglasses Shoppers,Sunglasses Shoppers,,Shopping & Fashion,Eye Care,Low,,,
,246,Sunglasses,G3.4,G,3.4,Brand Visited,Sunglass Hut,Sunglass Hut,,Shopping & Fashion,Eye Care,Low,,,
,347,Shopping,N,N,,Brand Visited,Star Mart Visitors,Star Mart ,,Shopping & Fashion,shoppers,Low,,,
,117,Alcoholic beverages,E1,E,1,Brand Visited,Star Liquor Visitors,Star Liquor , ,Beverage,Alcoholic,Low,,,
,317,Vehicles,J3.1,J,3.1,Brand Visited,Star Car Wash Visitors,Star Car Wash ,,Transportation,Service Center,Low,,,
,163,Vegetarianism,E8.2,E,8.2,Brand Visited,Sumo Salad,Sumo Salad,,Restaurants,Light Food,Low,,,
,208,Hotels,F5.7,F,5.7,Brand Visited,Stamford Plaza Brisbane Visitors,Stamford Plaza Brisbane , ,Travel,Accommodation,Low,,,
,259,Sports,H2,H,2,Place Categories,Stadium And Arena Visitors,Stadium And Arena ,,Hobbies And Activities,Sports,Low,,,
,201,Travel,F5,F,5,Brand Visited,STA Travel Visitors,STA Travel ,,Travel,Leisure,Low,,,
,331,Nursing,K1,K,1,Brand Visited,St Vincent's Care Services Visitors,St Vincent's Care Services ,,Health,Medical Care,Low,,,
,229,Beauty,G1,G,1,Brand Visited,St Ives Visitors,St Ives ,,Beauty,Personal Wellness,Low,,,
,231,Cosmetics,G1.2,G,1.2,Brand Visited,St Ives Visitors,St Ives ,,Beauty,Cosmetics,Low,,,
,197,Religion,F4.7,F,4.7,Interests,Sukhmani Sahib,Sukhmani Sahib,& Sukhmani Sahib,Social,Religion,Low,,,
,159,Fast food restaurants,E6.4,E,6.4,Brand Visited,Subway,Subway,,Restaurants,Fast Food,Low,,,
Y,22,Banking,A13.7,A,13.7,Brand Visited,St George Visitors,St George ,,Finance,Banking,Low,,,
,213,Tourism,F5.12,F,5.12,Brand Visited,St George Visitors,St George ,,Travel,Leisure,Low,,,
,213,Tourism,F5.12,F,5.12,Brand Visited,St Agnes Visitors,St Agnes ,,Travel,Leisure,Low,,,
,318,Automobiles,J3.1.1,J,3.1.1,Brand Visited,SsangYong Visitors,SsangYong ,,Automotive,Vehicles,Low,,,
,190,Politics and social issues,F4,F,4,Interests,Substance Abuse,Substance Abuse,,Social,Communication,Low,,,
,155,Restaurants,E6,E,6,Brand Visited,Squires Loft Visitors,Squires Loft ,,Restaurants,Food & Drink,Low,,,
,164,Grocery,E9,E,9,Brand Visited,Spudshed Visitors,Spudshed ,,Shopping & Fashion,Grocery,Low,,,
,116,Food and drink,E,E,,Brand Visited,Spudbar Visitors,Spudbar ,,Restaurants,Food & Drink,Low,,,
,318,Automobiles,J3.1.1,J,3.1.1,Brand Visited,Sprint Auto Parts Visitors,Sprint Auto Parts ,,Automotive,Vehicles,Low,,,
,208,Hotels,F5.7,F,5.7,Brand Visited,Spring Bay Hotel Visitors,Spring Bay Hotel , ,Travel,Accommodation,Low,,,
,345,Homeware,M7,M,7,Brand Visited,Spotlight Australia Visitors,Spotlight Australia ,,Shopping & Fashion,Shoppers,Low,Yes,Furniture Explorer,people Mostly online searching or clicked ads related to furniture buyers
,345,Homeware,M7,M,7,Brand Visited,Spotlight Visitors,Spotlight ,,Shopping & Fashion,Shoppers,Low,Yes,Furniture Explorer,people Mostly online searching or clicked ads related to furniture buyers
,318,Automobiles,J3.1.1,J,3.1.1,Brand Visited,Subaru,Subaru,,Automotive,Vehicles,Low,,,
,236,Clothing,G2,G,2,Interests,Style & Fashion,Style & Fashion,,Shopping & Fashion,Apparel,Low,,,
,250,Sports and outdoors,H,H,,Brand Visited,Sportspower Visitors,Sportspower , ,Hobbies And Activities,Sports equipment,Low,,,
,250,Sports and outdoors,H,H,,Brand Visited,Sportsmans Warehouse Visitors,Sportsmans Warehouse , ,Hobbies And Activities,Sports equipment,Low,,,
,250,Sports and outdoors,H,H,,Brand Visited,Sportsgirl Visitors,Sportsgirl , ,Hobbies And Activities,Sports equipment,Low,,,
,259,Sports,H2,H,2,Brand Visited,Sportsgirl Visitors,Sportsgirl , ,Hobbies And Activities,Sports,Low,,,
,250,Sports and outdoors,H,H,,Brand Visited,Sportscraft Visitors,Sportscraft , ,Hobbies And Activities,Sports equipment,Low,,,
N,236,Clothing,G2,G,2,Brands Visited,Sportsco Visitors,Sportsco,,Shopping & Fashion,Apparel,Low,,,
,241,Fashion design,G2.5,G,2.5,Interests,Style & Fashion,Style & Fashion,,Shopping & Fashion,Apparel,Low,,,
,332,Education,L,L,,Interests,Studying Business,Studying Business,,Education,Subjects,Low,,,
,250,Sports and outdoors,H,H,,Brand Visited,Sports Co Visitors,Sports Co , ,Hobbies And Activities,Sports equipment,Low,,,
,259,Sports,H2,H,2,Brand Visited,Sports Co Visitors,Sports Co , ,Hobbies And Activities,Sports,Low,,,
,332,Education,L,L,,Interests,Student Financial Aid,Student Financial Aid,,Education,Subjects,Low,,,
,49,Strategy games,B1.18,B,1.18,App Category,Strategy Games,Strategy Games,,Hobbies And Activities,Games,Low,,,
,250,Sports and outdoors,H,H,,Place Categories,Sports Club Visitors,Sports Club ,,Hobbies And Activities,Sports,Low,,,
,318,Automobiles,J3.1.1,J,3.1.1,Place Categories,Sports Car Showroom Visitors,Sports Car Showroom ,,Automotive,Vehicles,Low,,,
,250,Sports and outdoors,H,H,,Place Categories,Sports And Leisurehill Cellars Visitors,Sports And Leisurehill Cellars , ,Hobbies And Activities,Sports equipment,Low,,,
,18,Investment,A13.3,A,13.3,Interests,Stocks and Bonds,Stocks and Bonds,,Finance,Funds,Low,,,
,21,Income,A13.6,A,13.6,Interests,Stocks and Bonds,Stocks and Bonds,,Finance,Funds,Low,,,
,327,Trucks,J3.1.10,J,3.1.10,Brand Visited,Steer Backhoes & Bulldozers,Steer Backhoes & Bulldozers,& Steer Backhoes & Bulldozers,Automotive,Vehicles,Low,,,
,318,Automobiles,J3.1.1,J,3.1.1,Interests,Station Wagon,Station Wagon,,Automotive,Vehicles,Low,,,
,6,Business,A5,A,5,Brand Visited,Startups & More,Startups & More, ,Business,Professional,Low,,,
,156,Coffeehouses,E6.1,E,6.1,Brand Visited,Spin Coffee Visitors,Spin Coffee ,,Beverage,Non Alcoholic,Low,,,
,318,Automobiles,J3.1.1,J,3.1.1,Brand Visited,Speedway Visitors,Speedway ,,Automotive,Vehicles,Low,,,
,330,Health care,K,K,,Brand Visited,Specsavers Optometrists Visitors,Specsavers Optometrists ,,Health,Medicine,Low,,,
,122,Coffee,E2.1,E,2.1,Brand Visited,Starbucks,Starbucks,,Restaurants,Fast Food,Low,,,
,156,Coffeehouses,E6.1,E,6.1,Brand Visited,Starbucks,Starbucks,,Restaurants,Fast Food,Low,,,
,159,Fast food restaurants,E6.4,E,6.4,Brand Visited,Starbucks,Starbucks,,Restaurants,Fast Food,Low,,,
,165,Hobbies and activities,F,F,,Interests,Stamps and Coins,Stamps and Coins,,Hobbies And Activities,Hobbies,Low,,,
,164,Grocery,E9,E,9,Brand Visited,Spar Hypermarket Visitors,Spar Hypermarket ,,Shopping & Fashion,Grocery,Low,,,
,142,Spanish cuisine,E4.12,E,4.12,Place Categories,Spanish Cuisine Visitors,Spanish Cuisine ,,Food,Spanish Cuisine,Low,,,
,208,Hotels,F5.7,F,5.7,Brand Visited,Space Hotel Visitors,Space Hotel , ,Travel,Accommodation,Low,,,
,346,Furniture,M8,M,8,Brand Visited,Space Furniture Visitors,Space Furniture ,,Home And Garden,Homeware,Low,,,
,22,Banking,A13.7,A,13.7,Brand Visited,St George Banks,St George Banks,,Finance,Banking,Low,,,
,110,Meditation,D2,D,2,Place Categories,Spa Visitors,Spa ,,Fitness And Wellness,Personal Wellness,Low,,,
,112,Physical fitness,D4,D,4,Brand Visited,Southside Fitness Visitors,Southside Fitness , ,Fitness And Wellness,Fitness Care,Low,,,
,331,Nursing,K1,K,1,Brand Visited,Southern Cross Care Visitors,Southern Cross Care ,,Health,Medical Care,Low,,,
,135,Indian cuisine,E4.5,E,4.5,Place Categories,South Indian Restaurant Visitors,South Indian Restaurant ,,Food,Indian Cuisine,Low,,,
,24,Online banking,A13.7.2,A,13.7.2,Brand Visited,St George Banks,St George Banks,,Finance,Banking,Low,,,
,147,Food,E5,E,5,Brand Visited,Soul Origin Visitors,Soul Origin ,,Food,Shoppers,Low,,,
,338,Home and garden,M,M,,Brand Visited,Solomons Flooring Visitors,Solomons Flooring ,,Home And Garden,Homeware,Low,,,
,208,Hotels,F5.7,F,5.7,Brand Visited,Sofitel Visitors,Sofitel , ,Travel,Accommodation,Low,,,
,318,Automobiles,J3.1.1,J,3.1.1,Brand Visited,SsangYong,SsangYong,,Automotive,Vehicles,Low,,,
,229,Beauty,G1,G,1,Brand Visited,Sodashi Visitors,Sodashi ,,Beauty,Personal Wellness,Low,,,
,231,Cosmetics,G1.2,G,1.2,Brand Visited,Sodashi Visitors,Sodashi ,,Beauty,Cosmetics,Low,,,
,338,Home and garden,M,M,,Brand Visited,Spotlight,Spotlight,,Home And Garden,Homeware,Low,,,
,345,Homeware,M7,M,7,Brand Visited,Spotlight,Spotlight,,Home And Garden,Homeware,Low,,,
,48,Sports games,B1.17,B,1.17,App Category,Sports Games,Sports Games,,Hobbies And Activities,Games,Low,,,
,250,Sports and outdoors,H,H,,Geo Behaviour,Sports Enthusiasts,Sports Enthusiasts,,Hobbies And Activities,Sports,Low,,,
,238,Men's clothing,G2.2,G,2.2,Brand Visited,Sports Co,Sports Co,,Shopping & Fashion,Apparel,Low,,,
,269,Snowboarding,H2.10,H,2.1,Place Categories,Snow Sports Venue Visitors,Snow Sports Venue ,,Hobbies And Activities,Sports,Low,,,
,338,Home and garden,M,M,,Brand Visited,Snooze Visitors,Snooze ,,Home And Garden,Homeware,Low,,,
,6,Business,A5,A,5,Brand Visited,Snap Printing Visitors,Snap Printing , ,Business,Professional,Low,,,
,352,Luxury goods,N4,N,4,Brand Visited,Sports Co,Sports Co,,Shopping & Fashion,Apparel,Low,,,
,153,Pizza,E5.6,E,5.6,Brand Visited,Smokin Joe's Visitors,Smokin Joe's ,,Restaurants,Fast Food,Low,,,
,6,Business,A5,A,5,Brand Visited,Smiggle Visitors,Smiggle , ,Business,Professional,Low,,,
,250,Sports and outdoors,H,H,,Interests,Sports & Podcasts,Sports & Podcasts, ,Hobbies And Activities,Sports equipment,Low,,,
,250,Sports and outdoors,H,H,,Interests,Sports & Music Stations,Sports & Music Stations, ,Hobbies And Activities,Sports equipment,Low,,,
,250,Sports and outdoors,H,H,,App Category,Sports,Sports,,Hobbies And Activities,Sports,Low,,,
,250,Sports and outdoors,H,H,,Interests,Sports,Sports,,Hobbies And Activities,Sports,Low,,,
,120,Wine,E1.3,E,1.3,Brand Visited,Small Patch Wine Store Visitors,Small Patch Wine Store , ,Beverage,Alcoholic,Low,,,
,120,Wine,E1.3,E,1.3,Brand Visited,Small Patch Wine Store Visitors,Small Patch Wine Store ,,Beverage,Alcoholic,Low,,,
,250,Sports and outdoors,H,H,,Geo Behaviour,Sporting Goods Shoppers,Sporting Goods Shoppers,,Hobbies And Activities,Sports,Low,,,
,338,Home and garden,M,M,,Brand Visited,Sleepy's Visitors,Sleepy's ,,Home And Garden,Homeware,Low,,,
,330,Health care,K,K,,Brand Visited,Specsavers Optometrists,Specsavers Optometrists,,Health,Medical Care,Low,,,
,259,Sports,H2,H,2,Place Categories,Skydiving Venue Visitors,Skydiving Venue ,,Hobbies And Activities,Sports,Low,,,
,318,Automobiles,J3.1.1,J,3.1.1,Brand Visited,Skoda Visitors,Skoda ,,Automotive,Vehicles,Low,,,
,330,Health care,K,K,,Interests,Special Needs Kids,Special Needs Kids,,Health,Medical Care,Low,,,
,347,Shopping,N,N,,Brand Visited,Skinmart Visitors,Skinmart ,,Shopping & Fashion,shoppers,Low,,,
,332,Education,L,L,,Interests,Special Education,Special Education,,Education,Subjects,Low,,,
,330,Health care,K,K,,Place Categories,Skin Care Visitors,Skin Care ,,Health,Medical Care,Low,,,
,110,Meditation,D2,D,2,Interests,Spas,Spas,,Fitness And Wellness,Personal Wellness,Low,,,
,332,Education,L,L,,Interests,Space and Astronomy,Space and Astronomy,,Education,Subjects,Low,,,
,330,Health care,K,K,,Brand Visited,SKG Radiology Visitors,SKG Radiology ,,Health,Medical Care,Low,,,
,239,Shoes,G2.3,G,2.3,Brand Visited,Skechers Visitors,Skechers ,,Shopping & Fashion,Footware,Low,,,
,203,Air travel,F5.2,F,5.2,Geo Behaviour,South America Travel,South America Travel,,Travel,Leisure,Low,,,
,259,Sports,H2,H,2,Place Categories,Skating Park Visitors,Skating Park ,,Hobbies And Activities,Sports,Low,,,
,208,Hotels,F5.7,F,5.7,Brand Visited,Sofitel,Sofitel,,Travel,Accommodation,Low,,,
,155,Restaurants,E6,E,6,Brand Visited,Sizzler Visitors,Sizzler ,,Restaurants,Food & Drink,Low,,,
,155,Restaurants,E6,E,6,Brand Visited,Sixpenny Visitors,Sixpenny ,,Restaurants,Food & Drink,Low,,,
,208,Hotels,F5.7,F,5.7,Brand Visited,Sir Stamford Visitors,Sir Stamford , ,Travel,Accommodation,Low,,,
