Newly Added,ID,Industry,Code,Alphabet,Numeric,Type ,Segment Name,Display Name,Real Value,Group,Type,Value,New Attribute Name,Rename,Meaning
,232,Fragrances,G1.3,G,1.3,Brand Visited,Zara,Zara,,Shopping & Fashion,cosmetics,Low,,,
,240,Women's clothing,G2.4,G,2.4,Brand Visited,Zara,Zara,,Shopping & Fashion,Apparel,Low,,,
,241,Fashion design,G2.5,G,2.5,Brand Visited,Zara,Zara,,Shopping & Fashion,Apparel,Low,,,
,354,Shopping malls,N6,N,6,Brand Visited,Woolworths Visitors,Woolworths ,,Shopping & Fashion,Shoppers,Low,,,
,243,Dresses,G3.1,G,3.1,Brand Visited,Zara,Zara,,Shopping & Fashion,Apparel,Low,,,
,344,Hardware,M6,M,6,Brand Visited,Clive Anthonys Visitors,Woodworking,,Home And Garden,Hardware,Low,,,
,244,Handbags,G3.2,G,3.2,Brand Visited,Zara,Zara,,Shopping & Fashion,Apparel,Low,,,
,147,Food,E5,E,5,Brand Visited,Woodo Visitors,Woodo ,,Food,Shoppers,Low,,,
,246,Sunglasses,G3.4,G,3.4,Brand Visited,Zara,Zara,,Shopping & Fashion,Apparel,Low,,,
,247,Watches,G3.5,G,3.5,Brand Visited,Zara,Zara,,Shopping & Fashion,Apparel,Low,,,
,115,Yoga,D7,D,7,Geo Behaviour,Yoga Enthusiasts,Yoga Enthusiasts,,Fitness And Wellness,Personal Wellness,Low,,,
,190,Politics and social issues,F4,F,4,Brand Visited,YMCA,YMCA,,Social,Community,Low,,,
,97,Family and relationships,C,C,,Interests,Year 90 -99,Year 90 -99,90's,Family And Relationships,Age Groups,Low,,,
,97,Family and relationships,C,C,,Interests,Year 80 -90,Year 80 -90,80s,Family And Relationships,Age Groups,Low,,,
,97,Family and relationships,C,C,,Interests,Year 70 -80,Year 70 -80,70s,Family And Relationships,Age Groups,Low,,,
,155,Restaurants,E6,E,6,Brand Visited,Wok Me Visitors,Wok Me ,,Restaurants,Food & Drink,Low,,,
,159,Fast food restaurants,E6.4,E,6.4,Brand Visited,Wok In A Box Visitors,Wok In A Box ,,Restaurants,Fast Food,Low,,,
,239,Shoes,G2.3,G,2.3,Brand Visited,Wittner Visitors,Wittner ,,Shopping & Fashion,Footware,Low,,,
,228,Shopping and fashion,G,G,,Brand Visited,Witchery Visitors,Witchery ,,Shopping & Fashion,Shoppers,High,,,
,97,Family and relationships,C,C,,Interests,Year 60 -70,Year 60 -70,60s,Family And Relationships,Age Groups,Low,,,
,238,Men's clothing,G2.2,G,2.2,Brand Visited,Yd,Yd,,Shopping & Fashion,Apparel,Low,,,
,120,Wine,E1.3,E,1.3,Brand Visited,Wise Child Wine Store Visitors,Wise Child Wine Store , ,Beverage,Alcoholic,Low,,,
,120,Wine,E1.3,E,1.3,Brand Visited,Wise Child Wine Store Visitors,Wise Child Wine Store ,,Beverage,Alcoholic,Low,,,
,208,Hotels,F5.7,F,5.7,Brand Visited,Wintersun Hotel Visitors,Wintersun Hotel , ,Travel,Accommodation,High,,,
,120,Wine,E1.3,E,1.3,Brand Visited,Winona Wine Visitors,Winona Wine , ,Beverage,Alcoholic,Low,,,
,120,Wine,E1.3,E,1.3,Brand Visited,WineStar Visitors,WineStar , ,Beverage,Alcoholic,Low,,,
,120,Wine,E1.3,E,1.3,Brand Visited,WineSquare Visitors,WineSquare , ,Beverage,Alcoholic,Low,,,
,120,Wine,E1.3,E,1.3,Brand Visited,Winesaver Visitors,Winesaver , ,Beverage,Alcoholic,Low,,,
,120,Wine,E1.3,E,1.3,Brand Visited,Wine Selectors Visitors,Wine Selectors , ,Beverage,Alcoholic,Low,,,
,120,Wine,E1.3,E,1.3,Brand Visited,Wine Republic Visitors,Wine Republic , ,Beverage,Alcoholic,Low,,,
,120,Wine,E1.3,E,1.3,Brand Visited,Wine People Visitors,Wine People , ,Beverage,Alcoholic,Low,,,
,120,Wine,E1.3,E,1.3,Brand Visited,Wine House Visitors,Wine House , ,Beverage,Alcoholic,Low,,,
,120,Wine,E1.3,E,1.3,Brand Visited,Wine Experience Visitors,Wine Experience , ,Beverage,Alcoholic,Low,,,
,259,Sports,H2,H,2,Interests,Wrestling,Wrestling, ,Hobbies And Activities,Sports,Low,,,
,120,Wine,E1.3,E,1.3,Brand Visited,Wine Culture Visitors,Wine Culture , ,Beverage,Alcoholic,Low,,,
,259,Sports,H2,H,2,Interests,World Cup,World Cup,,Hobbies And Activities,Sports,Low,,,
